3111,3112,3113,3114,3115,3116,3117,3118,3119,3121,3122,3131,3132,3133,3141,3149,3151,3152,3159,3161,3162,3169,3211,3212,3219,3221,3222,3231,3241,3251,3252,3253,3254,3255,3256,3259,3261,3262,3271,3272,3273,3274,3279,3311,3312,3313,3314,3315,3321,3322,3323,3324,3325,3326,3328,3329,3331,3332,3333,3334,3335,3336,3339,3341,3342,3343,3344,3345,3346,3351,3352,3353,3359,3361,3362,3363,3364,3365,3366,3369,3371,3372,3379,3391,3399
230110,100620,170113,71010,40110,20110,20840,190120,40721,220110,240120,140420,500710,400829,570110,540730,611510,420310,650100,410120,640312,420211,440121,440810,440910,380400,481910,470730,251730,50610,381220,130219,130211,320500,330300,150600,391510,392690,250870,700100,252310,251820,281810,260120,730300,262040,262030,730240,722490,820110,730810,732211,830110,722920,262011,732393,841931,841932,852580,732219,732611,731511,841311,844331,844339,851810,844399,910111,852321,701110,630110,850110,850610,870321,847989,732020,732290,730230,848710,840731,940140,830400,392530,300510,60490
230120,100630,170114,71021,40120,20120,20890,190211,40729,220190,240130,150500,500720,521212,570190,550200,611521,430310,650200,410150,640319,420212,440122,440831,440921,470100,481920,490110,262021,50690,382561,281410,130212,320710,330410,151530,391520,400122,381600,700210,252321,252020,380290,261800,730411,760110,740100,730290,731450,820130,730820,840110,830120,722990,710700,848110,842129,846510,900211,732290,820720,731512,841319,844332,844399,851821,847330,910119,852329,853910,820551,850120,850630,870322,870710,830120,840710,730240,890110,840732,940151,940130,630640,300590,262110
230910,100640,170191,71022,40140,20130,21092,190219,40790,220210,240210,500200,500790,521213,570210,560121,611522,610711,650400,410190,640320,420219,440410,440839,440929,470200,481960,490191,270120,130213,390110,310100,130219,320720,330420,151590,391530,400130,690100,700220,252329,252210,680100,261900,730511,760120,740200,730711,731589,820140,730840,840140,830130,731210,710900,848120,842131,846591,900610,761699,820730,731581,841320,844339,851711,851822,847350,910121,852341,853921,841451,850131,850640,870323,870790,830990,840910,860110,890120,840733,940159,940310,830241,300610,262190
230990,110100,170290,71029,40150,20210,30290,190220,40811,220290,240220,500300,511111,521215,570220,560122,611529,610712,650500,410210,640340,420221,440420,440890,441810,470311,482210,490199,270400,130219,390120,310210,130239,320730,330430,151800,391590,400300,690210,700231,252330,252220,680210,310390,730512,760200,740311,730719,731700,820150,730890,840211,830140,731290,711100,848130,842199,846592,900630,840310,845410,840610,841340,844399,851718,851829,850440,910129,852349,853922,841459,850132,850650,870324,870829,840734,841111,860120,890130,840734,940161,940330,940410,300640,300650
,110220,170310,71030,40210,20220,30311,190230,40819,220300,240290,500400,511119,521222,570231,560129,611530,610719,650699,410221,640351,420222,440500,441011,441820,470319,482290,490210,270500,130220,390130,310221,151800,320740,330491,152110,391610,400400,690220,700232,252390,252230,680221,720110,730519,760310,740312,730721,732619,820160,761090,840212,830150,731300,721011,848140,842481,846593,900640,840390,845420,840681,841350,847130,851762,851830,850450,910191,852359,853929,850811,850133,850660,870331,870899,840991,841112,860210,890190,840991,940169,940370,940421,300691,321310
,110290,170390,71040,40221,20230,30312,190510,40891,220410,240311,500500,511120,521223,570232,560130,611594,610721,650700,410229,640359,420229,440610,441012,441840,470321,391910,490290,270600,130231,390190,310229,281830,320810,330499,152190,391620,400520,690290,700239,381600,680800,680223,720120,730520,760320,740313,730722,732690,820190,940600,840219,830160,731412,721012,848180,843210,846594,900651,841430,845430,840682,841360,847141,851769,851840,850490,910199,852380,853931,850870,850134,850680,870332,871610,841330,841191,860290,890200,851210,940171,,940429,340700,321390
,110311,170112,71080,40229,20311,30313,190520,40899,220421,240319,500600,511130,521225,570239,560410,611595,610722,392620,410320,640391,420231,440690,441019,441850,470329,391990,482010,270799,130232,390210,310230,290950,320820,330510,320419,391690,400591,690310,700312,382450,680911,680229,720150,730531,760410,740319,730723,741991,820210,730830,840220,830170,731414,721020,848190,843221,846595,900652,841459,845490,840690,841370,847149,851770,851850,851690,910211,,853932,850940,850140,850690,870333,871620,841360,848310,860310,890310,851290,940179,,,392620,340600
,110313,170199,71090,40291,20312,30314,190531,70410,220429,240391,510130,511190,530911,570241,560490,611596,610729,401590,410330,640399,420232,440710,441090,441860,470411,400591,482040,271012,130239,390220,310240,292429,320890,330520,321511,391710,400599,690320,700319,681011,680919,680291,720211,730539,760421,740321,730729,741999,820220,761010,840290,830210,731419,721030,848790,843229,846596,900653,841460,845510,840721,841381,847150,851830,851890,851762,910212,,853939,850980,850151,850710,870390,871631,841370,848790,860390,890391,870310,940180,,,392690,382510
,110319,170220,71120,40299,20319,30319,190532,70940,220430,240399,510310,511211,530919,570242,560721,611599,610791,420329,410390,640510,420239,440721,441112,441871,470419,480920,482050,271019,152000,390230,310250,293399,320910,330530,321519,391721,400610,690390,700320,681019,680990,680292,720219,730590,760429,740322,730791,750890,820231,761699,840410,830230,731420,721041,848210,843230,846599,900659,841510,845521,840729,841382,847160,851840,851920,851770,910219,,853941,850990,850152,850720,870421,871639,841391,851140,860400,890392,870321,940190,,,401511,392610
